file,scene,feature,mode,slope,p_value,direction,n_pairs,slope_rand_mean,slope_rand_std
neutral_S01,neutral,pitch_mean,sym,0.021887874769458,0.588,none,27,0.0189504756817823,0.0123312779100318
neutral_S01,neutral,pitch_mean,h2a,0.0346688384152139,0.719,none,13,0.0235179410455018,0.0185915031131251
neutral_S01,neutral,pitch_mean,a2h,0.0208093554517417,0.79,none,14,0.0030446401625936,0.022680670175501
neutral_S01,neutral,pitch_max,sym,0.1262849318117113,0.903,none,27,0.029960751373709,0.0719744476635753
neutral_S01,neutral,pitch_max,h2a,0.1724715939362641,0.798,none,13,0.0758453649001384,0.1197964846674176
neutral_S01,neutral,pitch_max,a2h,0.1568063415100341,0.543,none,14,0.1392679651068021,0.1068258871928246
neutral_S01,neutral,pitch_min,sym,-0.0011487512309896,0.462,none,26,0.002567756528065,0.0374845968930439
neutral_S01,neutral,pitch_min,h2a,-0.0817669485822015,0.047,convergence,13,0.0028247057997691,0.0518625449461203
neutral_S01,neutral,pitch_min,a2h,0.0300007116029581,0.948,none,13,-0.033138189793451,0.040408162846487
neutral_S01,neutral,pitch_std,sym,0.0122938356139754,0.939,none,27,-0.0059866044636769,0.0115983109791176
neutral_S01,neutral,pitch_std,h2a,0.0216707842381066,0.972,divergence,13,-0.0088809039376434,0.0173077133613827
neutral_S01,neutral,pitch_std,a2h,0.0258961735456823,0.592,none,14,0.0206287543114013,0.0198279309785672
neutral_S01,neutral,intensity_mean,sym,-0.0119200808086363,0.064,none,25,-0.0001485176889878,0.0076994095085628
neutral_S01,neutral,intensity_mean,h2a,-0.019304938591006,0.09,none,11,-0.0041656753531901,0.0113090049609548
neutral_S01,neutral,intensity_mean,a2h,-0.0046526191968923,0.717,none,14,-0.0060718928978458,0.0028041343259805
neutral_S01,neutral,intensity_max,sym,-0.0022518566591789,0.017,convergence,27,0.0022013052473101,0.0020051942554979
neutral_S01,neutral,intensity_max,h2a,-0.0013689183656209,0.075,none,13,0.0031677669254131,0.0031356373865142
neutral_S01,neutral,intensity_max,a2h,-0.0033562158984536,0.946,none,14,-0.005309421859546,0.0012320172731148
neutral_S01,neutral,intensity_std,sym,-0.0008883365046309,0.675,none,10,-0.0028822208779685,0.0043225575148096
neutral_S01,neutral,intensity_std,h2a,-0.0037632579283197,0.469601677148847,none,7,-0.0033661790208194,0.0047436342531305
neutral_S01,neutral,speech_rate,sym,-9.807297477624395e-05,0.687,none,27,-0.0003372062587586,0.0005359286380176
neutral_S01,neutral,speech_rate,h2a,-0.0026127264644413,0.075,none,13,-0.0013933074666718,0.0008602043640929
neutral_S01,neutral,speech_rate,a2h,0.0013242961450977,0.972,divergence,14,7.712336325166155e-05,0.0006480169623136
neutral_S01,neutral,mfcc_centroid_dist,sym,-9.850982226212087e-08,0.345,none,26,1.2775472940484976e-07,5.788224619841844e-07
neutral_S01,neutral,mfcc_centroid_dist,h2a,-9.441455870182778e-07,0.526,none,12,-1.0301892159985267e-06,8.787458627056854e-07
neutral_S01,neutral,mfcc_centroid_dist,a2h,7.863832435358252e-07,0.649,none,14,-1.3964171295800858e-08,1.9438779092920277e-06
neutral_S01,neutral,embedding_cosine_dist,sym,-6.511202206863336e-05,0.04,convergence,24,-2.8602341840286145e-05,1.9514570580129375e-05
neutral_S01,neutral,embedding_cosine_dist,h2a,-0.0001020802827959,0.029,convergence,12,-4.3318166061047e-05,3.007562943472825e-05
neutral_S01,neutral,embedding_cosine_dist,a2h,-5.983873931368749e-05,0.083,none,12,-5.102597714953186e-06,3.9958385058885045e-05
neutral_S02,neutral,pitch_mean,sym,0.0176051468546298,0.954,divergence,25,-0.0182308940511364,0.0219500587437498
neutral_S02,neutral,pitch_mean,h2a,0.0409477457401712,0.951,divergence,13,-0.0118756972812629,0.0308342211852538
neutral_S02,neutral,pitch_mean,a2h,-0.0124818372112504,0.355,none,12,0.0025699288288691,0.0410163625841672
neutral_S02,neutral,pitch_max,sym,0.1149379184991352,0.906,none,39,-0.0491894664243141,0.1254558790891365
neutral_S02,neutral,pitch_max,h2a,0.1240147519004404,0.798,none,19,-0.0359771170865069,0.1959014741123392
neutral_S02,neutral,pitch_max,a2h,0.1037313538632099,0.287,none,20,0.1715175734171264,0.1090279284149371
neutral_S02,neutral,pitch_std,sym,0.0276468081549092,0.857,none,36,0.0141287070738938,0.012326667871783
neutral_S02,neutral,pitch_std,h2a,0.0172337498893021,0.716,none,18,0.0077769624734358,0.0163311544567145
neutral_S02,neutral,pitch_std,a2h,0.0413481347766826,0.784,none,18,0.018468963589907,0.0281929274633464
neutral_S02,neutral,intensity_mean,sym,0.0021538901973585,0.604,none,39,0.001517310551787,0.0024631091175844
neutral_S02,neutral,intensity_mean,h2a,0.0037339577717222,0.633,none,19,0.0025598943740351,0.0031699020458369
neutral_S02,neutral,intensity_mean,a2h,0.003654488189752,0.895,none,20,0.0013399907737336,0.002014733011292
neutral_S02,neutral,intensity_max,sym,0.0019257299192855,0.289,none,39,0.0029447958445128,0.0019322841627777
neutral_S02,neutral,intensity_max,h2a,-0.0028183880720408,0.079,none,19,0.0010395772951162,0.0025212792387643
neutral_S02,neutral,intensity_max,a2h,0.0069743549165008,0.923,none,20,0.0017260261851134,0.0038355163171309
neutral_S02,neutral,intensity_min,sym,0.0012084567422075,0.652,none,39,0.0004976392345845,0.0019280935101279
neutral_S02,neutral,intensity_min,h2a,0.0041537184176975,0.935,none,19,0.0002357617044194,0.0026441421866096
neutral_S02,neutral,intensity_min,a2h,-0.002416422824618,0.062,none,20,0.000583030108761,0.0019502861764848
neutral_S02,neutral,intensity_std,sym,0.0004571251206291,0.203,none,39,0.0014690991763499,0.0012645316965867
neutral_S02,neutral,intensity_std,h2a,-0.0008575312152816,0.068,none,19,0.0017460042641157,0.0016495966381566
neutral_S02,neutral,intensity_std,a2h,0.002355792122819,0.963,divergence,20,0.0003927929587768,0.0010667181535738
neutral_S02,neutral,speech_rate,sym,9.284770263391776e-05,0.74,none,39,-0.0002780466756818,0.0005711779935041
neutral_S02,neutral,speech_rate,h2a,-0.0003027194985135,0.622,none,19,-0.0005635481547717,0.0008235859099279
neutral_S02,neutral,speech_rate,a2h,0.0001740023823839,0.422,none,20,0.0003463072959345,0.0007173850515899
neutral_S02,neutral,mfcc_centroid_dist,sym,-8.300013221612386e-08,0.441,none,34,1.5012276169388816e-08,7.559490810603323e-07
neutral_S02,neutral,mfcc_centroid_dist,h2a,-2.3759683568503636e-08,0.49,none,17,2.519639142554604e-08,1.098001748780949e-06
neutral_S02,neutral,mfcc_centroid_dist,a2h,-8.647652579218014e-07,0.134,none,17,8.482356935529161e-07,1.5894820594718831e-06
neutral_S02,neutral,embedding_cosine_dist,sym,1.5769627997632494e-05,0.744,none,34,-8.939744705098849e-06,3.885011744164426e-05
neutral_S02,neutral,embedding_cosine_dist,h2a,4.954840752188165e-05,0.869,none,17,-1.9386224327228492e-05,5.820505277263169e-05
neutral_S02,neutral,embedding_cosine_dist,a2h,-3.290336823317592e-05,0.284,none,17,-1.1128032598257145e-05,3.903540402556854e-05
